film_id,title,wikidata_uri,subject,predicate,object,sentence,extraction_method
Q125769948,Appa I Love You,http://www.wikidata.org/entity/Q125769948,Chowka,name,2017,The film's title is named after a song in Chowka (2017).,root_verb_fallback
Q131092696,Appudo Ippudo Eppudo,http://www.wikidata.org/entity/Q131092696,Nikhil Siddhartha,feature,Rukmini Vasanth,"The film features Nikhil Siddhartha, Rukmini Vasanth and Divyansha Kaushik in important roles.",root_verb_fallback
Q131092696,Appudo Ippudo Eppudo,http://www.wikidata.org/entity/Q131092696,Bommarillu,name,2006,The film is named after the song of the same name in Bommarillu (2006).,root_verb_fallback
Q124850102,Aranmanai 4,http://www.wikidata.org/entity/Q124850102,Tamannaah Bhatia,feature,Raashii Khanna,"Partially reshot in Telugu as Baak, the film features an ensemble cast including Sundar, Tamannaah Bhatia, Raashii Khanna, Santhosh Prathap, Ramachandra Raju, Kovai Sarala, Yogi Babu, VTV Ganesh and Delhi Ganesh.",root_verb_fallback
Q124850102,Aranmanai 4,http://www.wikidata.org/entity/Q124850102,Vennela Kishore,replace,Yogi Babu,Vennela Kishore and Srinivasa Reddy replaces Yogi Babu and VTV Ganesh in the Telugu version.,dependency
Q124467040,Arcadia (2024 film),http://www.wikidata.org/entity/Q124467040,Starring Angeliki Papoulia,tell,Vangelis Mourikis,"Starring Angeliki Papoulia and Vangelis Mourikis, it tells the story of neurologist Katerina and Yannis, a former doctor, as they head off to a deserted seaside resort.",root_verb_fallback
Q107460063,Argylle,http://www.wikidata.org/entity/Q107460063,Henry Cavill,feature,Bryce Dallas Howard,"The film features an ensemble cast, including Henry Cavill, Bryce Dallas Howard, Sam Rockwell, Bryan Cranston, Catherine O'Hara, Dua Lipa, Ariana DeBose, John Cena, and Samuel L. Jackson.",root_verb_fallback
Q125157667,Arimapatti Sakthivel,http://www.wikidata.org/entity/Q125157667,Charle,star,Meghnaa Ellan,"The film stars himself, Charle, Meghnaa Ellan and Imman Annachi in the lead roles.",root_verb_fallback
Q136368836,Arjun Chakravarthy,http://www.wikidata.org/entity/Q136368836,Vijaya Rama Raju,star,Sija Rose,"It stars Vijaya Rama Raju in the titlular role alongside Sija Rose, Ajay and Ajay Ghosh.",root_verb_fallback
Q125856483,Armand (film),http://www.wikidata.org/entity/Q125856483,Norway,star,Netherlands,"An international co-production of Norway, the Netherlands, Germany and Sweden, the film stars Renate Reinsve, Ellen Dorrit Petersen, Endre Hellestveit, Thea Lambrechts Vaulen, Øystein Røger, and Vera Veljovic.",root_verb_fallback
Q125543995,Art of Love (2024 film),http://www.wikidata.org/entity/Q125543995,Birkan Sokullu,star,Esra Bilgiç,"The film stars Birkan Sokullu, Esra Bilgiç and Fırat Tanış.",root_verb_fallback
Q125543995,Art of Love (2024 film),http://www.wikidata.org/entity/Q125543995,Netflix,release,14 March 2024,It was released on Netflix on 14 March 2024.,root_verb_fallback
Q130240871,The Antique (2024 film),http://www.wikidata.org/entity/Q130240871,2006,depict,Russia,"Inspired by the 2006 deportation of Georgians from Russia, the film depicts a Georgian woman who moves in with an old man in Saint Petersburg and is pursued by Russian authorities seeking to deport Georgians from the country.",root_verb_fallback
Q124848151,The Antisocial Network (film),http://www.wikidata.org/entity/Q124848151,Jones,feel,Feels Good Man,"It was released as a follow-up to Jones' previous work, Feels Good Man.",root_verb_fallback
Q123582987,The Apprentice (2024 film),http://www.wikidata.org/entity/Q123582987,Trump,examine,New York City,"The plot examines Trump making a career as a real estate businessman in New York City in the 1970s and 1980s, highlighting his relationship with attorney Roy Cohn.",root_verb_fallback
Q123582987,The Apprentice (2024 film),http://www.wikidata.org/entity/Q123582987,Ali Abbasi,star,Gabriel Sherman,"Directed by Ali Abbasi and written by Gabriel Sherman, the film also stars Jeremy Strong as Cohn, Martin Donovan as Trump's father Fred, and Maria Bakalova as Trump's first wife, Ivana.",root_verb_fallback
Q125782358,The Architecture of Love,http://www.wikidata.org/entity/Q125782358,Putri Marino,star,Nicholas Saputra,The film stars Putri Marino and Nicholas Saputra.,root_verb_fallback
Q132672662,The Art of Healing Descendant Pain,http://www.wikidata.org/entity/Q132672662,Kwame Akoto-Bamfo,write,Darius Matheson,"The movie was written by Kwame Akoto-Bamfo and Darius Matheson, and was directed by Darius Matheson.",root_verb_fallback
Q132774519,Art Spiegelman: Disaster Is My Muse,http://www.wikidata.org/entity/Q132774519,Molly Bernstein,produce,Philip Dolin,It is produced and directed by Molly Bernstein and Philip Dolin.,root_verb_fallback
Q132774519,Art Spiegelman: Disaster Is My Muse,http://www.wikidata.org/entity/Q132774519,DOC NYC,premier,November 2024,It premiered at DOC NYC in November 2024.,root_verb_fallback
Q132774519,Art Spiegelman: Disaster Is My Muse,http://www.wikidata.org/entity/Q132774519,"February 21, 2025",give,PBS,"It was given a limited theatrical release on February 21, 2025, and aired on PBS on April 15, 2025, as part of the American Masters series.",root_verb_fallback
Q123685382,Arthur's Whisky,http://www.wikidata.org/entity/Q123685382,Stephen Cookson,direct,Alexis Zegerman,It is directed and produced by Stephen Cookson from a script by Alexis Zegerman.,root_verb_fallback
Q123685382,Arthur's Whisky,http://www.wikidata.org/entity/Q123685382,UK,premier,Sky Cinema,It premiered in the UK on Sky Cinema on 1 January 2024.,root_verb_fallback
Q110938009,Arthur the King,http://www.wikidata.org/entity/Q110938009,2016,base,Arthur - The Dog Who Crossed the Jungle to Find a Home,It is based on the true story told in the 2016 memoir Arthur - The Dog Who Crossed the Jungle to Find a Home by Mikael Lindnord.,root_verb_fallback
Q110938009,Arthur the King,http://www.wikidata.org/entity/Q110938009,Arthur,befriend,the Dominican Republic,"In the film, the captain of an adventure racing team befriends a wounded stray dog named Arthur, who accompanies the team on a grueling 435-mile (700-km) endurance race through the Dominican Republic.",root_verb_fallback
Q124570438,Article 20,http://www.wikidata.org/entity/Q124570438,China,release,"February 10, 2024","Article 20 was released in theaters in China on February 10, 2024, in IMAX, CINITY, Dolby Vision and other formats.",root_verb_fallback
Q124325961,Article 370 (film),http://www.wikidata.org/entity/Q124325961,Jyoti Deshpande,star,Aditya Dhar,"Produced by Jyoti Deshpande, Aditya Dhar, and Lokesh Dhar, the film stars Yami Gautam Dhar and Priyamani, alongside Skand Thakur, Ashwini Kaul, Vaibhav Tatwawadi, Arun Govil, and Kiran Karmarkar.",root_verb_fallback
Q124325961,Article 370 (film),http://www.wikidata.org/entity/Q124325961,2019,base,Jammu,It is based on the 2019 revocation of the special status of Jammu and Kashmir regarding Article 370 of the Constitution of India.,root_verb_fallback
Q125728861,Artificial Justice,http://www.wikidata.org/entity/Q125728861,Verónica Echegui,star,Tamar Novas,"It stars Verónica Echegui, Tamar Novas, Alba Galocha and Alberto Ammann.",root_verb_fallback
Q122961715,Arzé,http://www.wikidata.org/entity/Q122961715,Betty Taoutel,star,Al Hamwi,"The film stars Diamand Abou Abboud, Betty Taoutel, and Bilal Al Hamwi.",root_verb_fallback
Q125492705,Aserb: The Squadron,http://www.wikidata.org/entity/Q125492705,Ahmed El Sakka,star,Amr Abdulgalil,"The film stars Ahmed El Sakka, Amr Abdulgalil, and Kosai Khauli.",root_verb_fallback
Q125492705,Aserb: The Squadron,http://www.wikidata.org/entity/Q125492705,the Egyptian National Security Agency's,base,2015,Its story is based on true events of the Egyptian National Security Agency's response to the 2015 kidnapping and beheading of Copts in Libya.,root_verb_fallback
Q128826994,Ask Me What You Want,http://www.wikidata.org/entity/Q128826994,2024,ask,Lucía Alemany,"Ask Me What You Want is a 2024 erotic romantic drama film directed by Lucía Alemany from a screenplay by Ivy Hesh, Marina Martín Laguna, and Vivian Dakota based on the novel by Megan Maxwell starring Gabriela Andrada and Mario Ermito.",root_verb_fallback
Q136765307,At All Kosts,http://www.wikidata.org/entity/Q136765307,Port-au-Prince,profile,Haiti,"The film profiles the Festival 4 Chemins, an art and theatre festival in Port-au-Prince, Haiti, whose organizers are determined to stage the festival despite the political instability of the country.",root_verb_fallback
Q111598306,Atatürk (film),http://www.wikidata.org/entity/Q111598306,the Republic of Turkey,follow,Mustafa Kemal Atatürk,"The film follows the life of the founding father of the Republic of Turkey, Mustafa Kemal Atatürk.",root_verb_fallback
Q125870558,Athhoi,http://www.wikidata.org/entity/Q125870558,Anirban Bhattacharya,star,Arna Mukhopadhyay,"The film stars Anirban Bhattacharya, Arna Mukhopadhyay and Sohini Sarkar in lead roles.",root_verb_fallback
Q125127224,Athomugam,http://www.wikidata.org/entity/Q125127224,Chaitanya Pratap,star,Sarithiran,"The film stars S P Siddarth, Chaitanya Pratap, Sarithiran, and Ananth Nag in lead roles.",root_verb_fallback
Q125127224,Athomugam,http://www.wikidata.org/entity/Q125127224,Tamil,release,1 March 2024,The Tamil version of the film was theatrically released on 1 March 2024.,root_verb_fallback
Q115474889,Atlas (2024 film),http://www.wikidata.org/entity/Q115474889,Brad Peyton,direct,Leo Sardarian,The film is directed by Brad Peyton and written by Leo Sardarian and Aron Eli Coleite.,root_verb_fallback
Q115474889,Atlas (2024 film),http://www.wikidata.org/entity/Q115474889,Simu Liu,star,Sterling K. Brown,"The film also stars Simu Liu, Sterling K. Brown, and Mark Strong.",root_verb_fallback
Q124842799,Audrey (2024 film),http://www.wikidata.org/entity/Q124842799,Jackie van Beek,star,Jeremy Lindsay Taylor,"It stars Jackie van Beek, Jeremy Lindsay Taylor, Josephine Blazier, Hannah Diviney, and Aaron Fa'aoso.",root_verb_fallback
Q124842799,Audrey (2024 film),http://www.wikidata.org/entity/Q124842799,Australia,release,7 November 2024,It was released in Australia on 7 November 2024.,root_verb_fallback
Q126285104,Auron Mein Kahan Dum Tha,http://www.wikidata.org/entity/Q126285104,Ajay Devgn,star,Tabu,"The film stars Ajay Devgn and Tabu in their tenth film together alongside Jimmy Sheirgill, Shantanu Maheshwari and Saiee Manjrekar.",root_verb_fallback
Q125256465,Avatara Purusha 2,http://www.wikidata.org/entity/Q125256465,Sharan,star,Ashika Ranganath,It stars Sharan and Ashika Ranganath in the lead roles.,root_verb_fallback
Q125256465,Avatara Purusha 2,http://www.wikidata.org/entity/Q125256465,Abhinandan Kashyap,compose,William David,Abhinandan Kashyap composed the music while William David served as the cinematographer.,root_verb_fallback
Q130558712,Average Student Nani,http://www.wikidata.org/entity/Q130558712,Pawan Kumar Kothuri,feature,Sabiha Bhasin,"It also features Pawan Kumar Kothuri, Sabiha Bhasin and Sneha Malviya are in lead roles while Rajeev Kanakala, Viviya Santh, Jhansi, Khaleja Giri, Bindu and others are in supporting roles.",root_verb_fallback
Q125716857,Avicii – I'm Tim,http://www.wikidata.org/entity/Q125716857,Henrik Burman,direct,Björn Tjärnberg,"It is directed by Swedish director Henrik Burman, produced by Björn Tjärnberg, and features interviews from Chris Martin, Nile Rodgers and David Guetta among others.",root_verb_fallback
Q16246864,Ayalaan,http://www.wikidata.org/entity/Q16246864,Sharad Kelkar,star,Isha Koppikar,"The film stars Sivakarthikeyan and Rakul Preet Singh in the lead roles, alongside Sharad Kelkar, Isha Koppikar, Karunakaran, Yogi Babu, David Broughton-Davies, Bhanupriya and Bala Saravanan, with Siddharth voicing the titular role.",root_verb_fallback
Q122875375,Azrael (film),http://www.wikidata.org/entity/Q122875375,Samara Weaving,star,Vic Carmen Sonne,"The film stars Samara Weaving, Vic Carmen Sonne and Nathan Stewart-Jarrett.",root_verb_fallback
Q122875375,Azrael (film),http://www.wikidata.org/entity/Q122875375,2024,premier,"March 9, 2024","It premiered at the 2024 South by Southwest festival on March 9, 2024, and was released theatrically by IFC Films and Shudder in the United States on September 27, 2024.",root_verb_fallback
Q131109039,Babies Don't Come with Instructions,http://www.wikidata.org/entity/Q131109039,2024,come,Marta Sánchez,Babies Don't Come with Instructions is a 2024 Spanish comedy-drama film directed by Marina Seresesky and written by Marta Sánchez and Irene Niubó based on the 2013 Mexican film Instructions Not Included.,root_verb_fallback
Q131109039,Babies Don't Come with Instructions,http://www.wikidata.org/entity/Q131109039,Maia Zaitegi,star,Silvia Alonso,"It stars Maia Zaitegi, Paco León, and Silvia Alonso.",root_verb_fallback
Q128208700,Babli (film),http://www.wikidata.org/entity/Q128208700,15 August 2024,release,Raj Chakraborty Entertainment Productions,This film was released on 15 August 2024 under the banner of Raj Chakraborty Entertainment Productions.,root_verb_fallback
Q125486797,Baby (2024 film),http://www.wikidata.org/entity/Q125486797,Brazil,star,France,"A co-production between Brazil, France and the Netherlands, the film stars João Pedro Mariano as Wellington, a young man forced to fend for himself on the streets of São Paulo.",root_verb_fallback
Q125486797,Baby (2024 film),http://www.wikidata.org/entity/Q125486797,two-year,meet,Ronaldo,"Newly released from a two-year stint in juvenile detention, during which his parents moved away without leaving any indication of their whereabouts, he meets the older Ronaldo, an escort who becomes first a substitute father figure and then a love interest for Baby.",root_verb_fallback
Q125589298,Baby Assassins: Nice Days,http://www.wikidata.org/entity/Q125589298,Mahiro Fukugawa,follow,Chisato Sugimoto,"The series follows two young women who work as contract killers, Mahiro Fukugawa and Chisato Sugimoto as they struggle to adjust to modern society.",root_verb_fallback
Q125589298,Baby Assassins: Nice Days,http://www.wikidata.org/entity/Q125589298,Japan,consist,Shibuya Productions,"The series, distributed in Japan by Shibuya Productions, consists of three films and a twelve-episode television drama.",root_verb_fallback
Q124445827,Baby John (film),http://www.wikidata.org/entity/Q124445827,Varun Dhawan,star,Keerthy Suresh,"The film stars Varun Dhawan, alongside Keerthy Suresh, Wamiqa Gabbi, Zara Zyanna and Jackie Shroff.",root_verb_fallback
Q123861757,Babygirl,http://www.wikidata.org/entity/Q123861757,Sophie Wilde,star,Antonio Banderas,Sophie Wilde and Antonio Banderas also star.,root_verb_fallback
Q131293603,Bachchala Malli,http://www.wikidata.org/entity/Q131293603,Allari Naresh,star,Amritha Aiyer,"The film stars Allari Naresh and Amritha Aiyer in the lead roles, while Rao Ramesh, Kota Jayaram, and Rohini play supporting roles.",root_verb_fallback
Q131293603,Bachchala Malli,http://www.wikidata.org/entity/Q131293603,Vishal Chandrasekhar,compose,Richard M. Nathan,The music was composed by Vishal Chandrasekhar with cinematography by Richard M. Nathan and editing by Chota K. Prasad.,root_verb_fallback
Q124007194,Bachelor Party (2024 film),http://www.wikidata.org/entity/Q124007194,Diganth Manchale,star,Yogesh,"It stars Diganth Manchale, Yogesh and Achyuth Kumar in the lead roles.",root_verb_fallback
Q124007194,Bachelor Party (2024 film),http://www.wikidata.org/entity/Q124007194,Arjun Ramu,compose,Arvind S Kashyap,"The music was composed by Arjun Ramu, while the cinematography and editing were handled by Arvind S Kashyap and Abhishek M.",root_verb_fallback
Q130344094,Back Bencherz,http://www.wikidata.org/entity/Q130344094,Ramya Rajshekar,produce,Police Praki Production,"Produced by Ramya Rajshekar under Police Praki Production, and starring Jathin Aryan, Akash MP, Shashank Simha, Manya Gowda, Kunkum H, Anusha Suresh, Manoj Shetty, Namith Gowda and Suchendra Prasad.",root_verb_fallback
Q116507926,Back to Black (film),http://www.wikidata.org/entity/Q116507926,Sam Taylor-Johnson,star,Matt Greenhalgh,"Directed by Sam Taylor-Johnson and written by Matt Greenhalgh, the film also stars Jack O'Connell, Eddie Marsan and Lesley Manville.",root_verb_fallback
Q31271357,Bad Boys: Ride or Die,http://www.wikidata.org/entity/Q31271357,2020,direct,Adil El Arbi,"The fourth installment of the Bad Boys film series, and the sequel to Bad Boys for Life (2020), it was directed by Adil El Arbi and Bilall Fallah and written by Chris Bremner and Will Beall.",root_verb_fallback
Q31271357,Bad Boys: Ride or Die,http://www.wikidata.org/entity/Q31271357,Joe Pantoliano,reprise,Vanessa Hudgens,"In addition to the duo, Joe Pantoliano, Vanessa Hudgens, Alexander Ludwig, Paola Núñez, and Jacob Scipio also reprise their roles from previous installments.",root_verb_fallback
Q31271357,Bad Boys: Ride or Die,http://www.wikidata.org/entity/Q31271357,Theresa Burnett,replace,Theresa Randle,"Tasha Smith joins the cast as Theresa Burnett replacing Theresa Randle, who played the character in the first three films, along with new cast members that includes Eric Dane, Ioan Gruffud, Melanie Liburd, and Rhea Seehorn.",dependency
Q31271357,Bad Boys: Ride or Die,http://www.wikidata.org/entity/Q31271357,Miami,detective,Mike Lowrey,"The story follows Miami detectives Mike Lowrey and Marcus Burnett, who are attempting to clear the name of their late Captain Conrad Howard after he is falsely accused of conspiracy.",dependency
Q127406473,Bad Faith (film),http://www.wikidata.org/entity/Q127406473,the United States,explore,Paul Weyrich,"The film explores the rise of Christian nationalism in the United States and its opposition to American democracy, and the historic role of Christian nationalists in the conservative movement, beginning with Paul Weyrich and Jerry Falwell in the Moral Majority, and Weyrich's creation of the secretive Council for National Policy.",root_verb_fallback
Q127406473,Bad Faith (film),http://www.wikidata.org/entity/Q127406473,Donald Trump,oppose,January 6,"They opposed secular and democratic institutions, supported using government to promote Christianity, and much later, their political influence led to the support for the candidacy of Donald Trump, the subsequent January 6 United States Capitol attack, and the policy blueprints for Project 2025.",root_verb_fallback
Q130442779,Bad Genius (2024 film),http://www.wikidata.org/entity/Q130442779,Benedict Wong,star,Callina Liang,"It stars Benedict Wong, Callina Liang, Jabari Banks, Taylor Hickson, and Sarah-Jane Redmond.",root_verb_fallback
Q126492012,Bad Shabbos,http://www.wikidata.org/entity/Q126492012,Kyra Sedgwick,star,Shabbos,The film stars Kyra Sedgwick as the matriarch of a Jewish family as tensions come to a head during a Shabbos dinner.,root_verb_fallback
Q130539163,The Art of Nothing,http://www.wikidata.org/entity/Q130539163,Magritte Awards,nominate,Best Actor,"At the 14th Magritte Awards, The Art of Nothing was nominated in the categories of Best Actor (Poelvoorde) and Best Original Score.",root_verb_fallback
Q126086644,The Assessment,http://www.wikidata.org/entity/Q126086644,Elizabeth Olsen,star,Alicia Vikander,"The film stars Elizabeth Olsen, Alicia Vikander, and Himesh Patel, along with Indira Varma, Nicholas Pinnock, Charlotte Ritchie, Leah Harvey, and Minnie Driver.",root_verb_fallback
Q126086644,The Assessment,http://www.wikidata.org/entity/Q126086644,Dave Thomas,write,Nell Garfath-Cox,"It was written by Dave Thomas, Nell Garfath-Cox and John Donnelly and directed by Fleur Fortuné in her feature-length debut.",root_verb_fallback
Q118067937,Bade Miyan Chote Miyan (2024 film),http://www.wikidata.org/entity/Q118067937,1998,star,Pooja Entertainment,"Sharing its name with the 1998 film also produced by Pooja Entertainment, the film stars Akshay Kumar, Tiger Shroff and Prithviraj Sukumaran in the lead roles alongside Manushi Chhillar, Alaya F, Sonakshi Sinha and Ronit Roy.",root_verb_fallback
Q123469290,Badland Hunters,http://www.wikidata.org/entity/Q123469290,Concrete Utopia,follow,2023,"A standalone sequel to Concrete Utopia (2023), it follows characters trying to survive in post-earthquake Seoul, now an orderless wasteland, three years after the original film's events.",root_verb_fallback
Q123900891,Bagheera (2024 film),http://www.wikidata.org/entity/Q123900891,Sriimurali,star,Rukmini Vasanth,"It stars Sriimurali, alongside Rukmini Vasanth, Prakash Raj, Sudha Rani, Ramachandra Raju, Achyuth Kumar and Rangayana Raghu.",root_verb_fallback
Q123900891,Bagheera (2024 film),http://www.wikidata.org/entity/Q123900891,B. Ajaneesh Loknath,compose,Arjun Shetty,"The music was composed by B. Ajaneesh Loknath, while the cinematography and editing were handled by Arjun Shetty and Pranav Sri Prasad.",root_verb_fallback
Q131873061,Bagman (2024 film),http://www.wikidata.org/entity/Q131873061,Sam Claflin,star,Antonia Thomas,"It stars Sam Claflin, Antonia Thomas, William Hope, Steven Cree, and Frankie Corio.",root_verb_fallback
Q130421461,Bahirbhoomi,http://www.wikidata.org/entity/Q130421461,Noel Sean,feature,Rishitha Nellore,"The film features Noel Sean and Rishitha Nellore in lead roles with Chitram Srinu, Garima Singh and Jabardasth Phani in pivotal roles.",root_verb_fallback
Q131178012,Bahumukham,http://www.wikidata.org/entity/Q131178012,Arvind Reddy,direct,Crystal Mountain Productions,It is directed and Produced by HarShiv Karthik and Co produced by Arvind Reddy under Crystal Mountain Productions.,root_verb_fallback
Q126327869,Bajrang Aur Ali,http://www.wikidata.org/entity/Q126327869,Sachin Parikh,star,Gauri Shankar,It stars Sachin Parikh and Gauri Shankar.,root_verb_fallback
Q128796304,Balota (film),http://www.wikidata.org/entity/Q128796304,Marian Rivera,star,Will Ashley,"The film stars Marian Rivera as Emmy, a teacher who is thrust into a dangerous situation during a volatile local election, with Will Ashley, Nico Antonio, Royce Cabrera, Raheel Bhyria, Sue Prado, Felix Petate, Esnyr, Donna Cariaga, Joel Saracho, Gardo Versoza, and Mae Paner in supporting roles.",root_verb_fallback
Q128796304,Balota (film),http://www.wikidata.org/entity/Q128796304,Cinemalaya Philippine Independent Film Festival,premier,"August 2, 2024","The film premiered in competition at the 20th Cinemalaya Philippine Independent Film Festival on August 2, 2024.",root_verb_fallback
Q128796304,Balota (film),http://www.wikidata.org/entity/Q128796304,GMA Pictures,produce,GMA Entertainment Group,"It was produced by GMA Pictures, GMA Entertainment Group, and the Film Development Council of the Philippines.",root_verb_fallback
Q130259949,Balu Gani Talkies,http://www.wikidata.org/entity/Q130259949,Shiva Ramachandra Varapu,star,Saranya Sharma,The film stars Shiva Ramachandra Varapu and Saranya Sharma in the lead roles.,root_verb_fallback
Q125543967,Bambara Wasanthe,http://www.wikidata.org/entity/Q125543967,Perera,star,Tanasha Satharasinghe,"It stars Channa Perera and Tanasha Satharasinghe in lead roles along with Jagath Galappatti, Gayesha Perera, Buddhika Jayarathne and Rex Kodippili in supportive roles.",root_verb_fallback
Q130642124,Bandaa Singh Chaudhary,http://www.wikidata.org/entity/Q130642124,Starring Arshad,set,Meher Vij,"Starring Arshad Warsi and Meher Vij, the film is set around Punjab in 1984 where a man fights with militants for survival.",root_verb_fallback
Q131452092,Banzo (film),http://www.wikidata.org/entity/Q131452092,Alfonso Paivaand,present,Hoji Fortuna,"Starring Carloto Cotta as Dr. Alfonso Paivaand and Hoji Fortuna as Alphonse, the film presents the legacy of Portuguese colonialism in Africa, revisiting memories and historical scars.",root_verb_fallback
Q126086650,Barah x Barah,http://www.wikidata.org/entity/Q126086650,Gyanendra Tripathi,star,Geetika Vidya Ohlyan,"It stars Gyanendra Tripathi, Geetika Vidya Ohlyan, Bhumika Dube.",root_verb_fallback
Q126086650,Barah x Barah,http://www.wikidata.org/entity/Q126086650,Varanasi,depict,India,"The movie depicts life in Varanasi, one of India's oldest cities as it undergoes gradual changes.",root_verb_fallback
Q138773972,Baratani: The Hill of Lovers,http://www.wikidata.org/entity/Q138773972,Tswana,feature,Tshepie Olds,"A filmic retelling of a popular Tswana folk tale, it features Tshepie Olds, Bernard Morapedi, and Omphile Mabine in lead roles.",root_verb_fallback
Q130341354,Bare Hands (film),http://www.wikidata.org/entity/Q130341354,23 October 2024,premier,Italy,"It premiered at the 19th Rome Film Festival on 23 October 2024, and received a theatrical release in Italy on 5 June 2025.",root_verb_fallback
Q85845478,Barroz 3D,http://www.wikidata.org/entity/Q85845478,Mohanlal,star,Maya Rao West,"The film stars Mohanlal in the titular role, alongside Maya Rao West, Cesar Lorente Raton, Ignacio Mateos, Kallirroi Tziafeta, Nerea Camacho and Tuhin Menon.",root_verb_fallback
Q123749605,Bastar: The Naxal Story,http://www.wikidata.org/entity/Q123749605,Adah Sharma,star,Indira Tiwari,"It stars Adah Sharma, Indira Tiwari, Vijay Krishna, Shilpa Shukla, Yashpal Sharma, Subrat Dutta and Raima Sen.",root_verb_fallback
Q131056987,Batman Beyond: Year One,http://www.wikidata.org/entity/Q131056987,Ryan Potter,star,Terry McGinnis / Batman,"It stars Ryan Potter as Terry McGinnis / Batman, alongside Isabelle Hahn, Fiona Dorn, Justin Vancho, and Koki Tomlinson.",root_verb_fallback
Q135454923,Bau: Artist at War,http://www.wikidata.org/entity/Q135454923,Josh Zuckerman,star,Yan Tual,"The film also stars Josh Zuckerman, Yan Tual, Eugene Lipinski, Josh Blacker, Edward Foy, Chris Cope and Adam Tsekhman, and chronicles Bau's imprisonment in the Kraków-Płaszów concentration camp during World War II, and his subsequent relationship and wedding with Rebecca.",root_verb_fallback
Q126930038,Bayamariya Brammai,http://www.wikidata.org/entity/Q126930038,JD,star,Guru Somasundaram,"The film stars JD, Guru Somasundaram, Harish Uthaman, John Vijay in lead roles.",root_verb_fallback
Q126930038,Bayamariya Brammai,http://www.wikidata.org/entity/Q126930038,Jagadish,produce,Rahul Kabali,The film was produced by Jagadish and Rahul Kabali under the banner of 69 MM Films.,root_verb_fallback
Q126930038,Bayamariya Brammai,http://www.wikidata.org/entity/Q126930038,Nandha,do,Akhil Prakash,The cinematography was done by Nandha and Praveen V and the editing was handled by Akhil Prakash.,root_verb_fallback
Q136484810,"Be My Guest, Be My Baby",http://www.wikidata.org/entity/Q136484810,the Kosho Nakashima,follow,Japan,"An adaptation of the Kosho Nakashima book The Sociology of Filipino Pub Women, it follows a graduate student doing research on female foreign workers in Japan as he falls in love with a Filipino pub hostess.",root_verb_fallback
